Reviewer Name,Country,Review Rating,Review Description
netarus,United States,5,Very prompt and articulate. He understood the requirements well and has good knowledge.
gerardjanssen,Netherlands,5,"We did some negotiating to get started, but then it went like a train. Produced the script within a few days. Now busy reviewing and testing it. 
Looks pretty impressive."
j_allen_morris,United States,5,"We set a delivery date of about 2 weeks on the project and he delivered early.  I'm very, very happy and will come back to him for future projects with Python."
kazumacat,Singapore,5,"Experienced programmer, quick and accommodating."
samuelramos923,Portugal,5,Loved to work. Genious individual. Fast and reliable. Tried different providers and he was the best.
alejandro_matos,Dominican Republic,5,"Working was great, very good communication and quality of programming!"
davidstephen981,United States,5,"Had a custom request which the seller gladly accommodated. Communication was excellent throughout the process, and the end product works well."
tugbota,Australia,5,Got the task completed quickly and to expectations. Thank you
patrick5423,United States,5,"Excellent, thanks again."
collincrossie,United States,5,Did a fantastic job. Was given a complex problem and met all criteria exceedingly well. Would buy again
martigrer,Singapore,5,"Very helpful, knowledgeable and punctual. Thank you!"
ozexexploration,Australia,5,"The project was to convert roughly 150 pages of scanned data from PDF to excel.  He was happy to review a few mistakes and made the corrections by the next day.  Good communication, very helpful, great service.  Will 100% use again."
taraohara783,United States,4,Thank you so much for this project! It was fast and efficient and done to specifications. Really appreciate the work!
kvdrkvdr,Canada,5,Seller is quick and strives for accuracy.
camcoeng,Australia,5,"On-time and delivered as required.  

Thanks for your great service."
worldbfree,United States,5,Very nice work!
kennymar,United States,5,"Good advise, thank you."
kennymar,United States,5,"Always good insights, thank you."
claudiatbl,Australia,5,"Amazing work, thank you."
ruoffa,Germany,4,"thank you for your reading, it was very interessting and nice and helpful and im Looking Forward for the changes"
kennymar,United States,5,Always good insights into my issues. Coming back for more.
flows11,Japan,5,"I've worked with many people 1-on-1 over the last several years. Concerning purpose, clarity, friendliness, professionalism, and care, this is one of the best interactions I've had. The information, where its coming from, and the message being shared was so clean; So easy to connect and understand. If you meditate for a bit before, do some breathwork, and spend some time in nature, you'll be more prepared to have great and enriching experience."
sfochica,United States,5,"Thank you Andy, our conversation opened up new horizons for me!
I would recommend Andy to anyone figuring out their next move into the business world with a new career in mind.
Communication was clear, I received many creative ideas of how to turn thoughts into opportunities and new ways to look at my current situation.
I would come back to Andy again for a new coaching session!"
aepizzo,United States,5,Ande did a great job of outlining and pinpointing why each career option would be a good or bad fit for me and which would be best as just hobbies. She helped to justify my own feelings about each as well. This definitely gave me clarity about which direction to go in.
ryangprep301,United States,5,Awesome zoom audio experience. Great energy and intuitive. Ande gave me some great ideas that I think will nudge me to put myself out there more and follow a more structured path.  Look forward to future sessions - grateful we connected.
delinadimova,Bulgaria,5,"thank you. delivered on time, communicated with ease and the info is super useful. I have a lot of work to do and I'm approaching with gentleness. I feel empowered by your reading and I will take your tips and follow up to see where it takes me. much appreciated  thank you."
barmot,Thailand,5,"""Srinjoyganguly"" is probably the best expert I have found at Fiverr. He is very skilled in the Quantum Computing field, as well very patient and supportive. I strongly recommend him."
ag7237,United Kingdom,5,Terrific work and fast
maheshnayee,United Kingdom,5,"EXCELLENT, I've had alot of healing from other gigs but this one is the best, I felt it working straight away and that's the honest truth, it makes a big difference, I will definitely be having another session, also the report was spot on 100% correct, thank you so much for your help"
timadajani,Canada,5,This is my second gig with Nat and it was great! She’s very empathetic and insightful and I felt a great energetic connection with her. Thank you
beachblonde13,United States,5,"Wow, great job! I knew it exactly when she was doing her work. This was great,  I'll definitely be back again. Thank you"
blueberryb,Canada,5,Wonderful!
maheshnayee,United Kingdom,5,"As always excellent work, thank you so much, 100% recommended"
othaanderden,United States,5,Great Work. She is really extra ordinary tutor. Highly recommend.
bertallen,United Kingdom,5,Wow. Amazing work. I Got Highest Marks just because of this Tutor. Highly Recommend.
engr_dua,Pakistan,5,She is just amazing seller.Having strong knowledge in quantum mechanics.Provided correct solutions with explination.you are real expert in this field.Dnt hesistate to work with her.thankyou teacher
evagalvan,Spain,5,She is brilliant! I’d definitely recommend her.
mysticmanaged,Canada,5,Outstanding experience. Super fast delivery. Thorough and accurate reading. Great communication. Highly recommend. Will work with again in future.
mmsmystique,United States,5,Does Great work
meganwade,United States,5,Good experience
musegenius,United States,5,Very helpful thank you!
davidmclean801,United States,5,Wonderful and Responsive! Easy to work with
glowpictures,United States,5,"Very good working with this seller.  Great communication, thank you!"
zentanamusic,United States,5,wonderful experience
zentanamusic,United States,5,Amazing experience! Great work! 100 satisfied.
annabellisima,Netherlands,5,"Great work, very satisfied!"
ashk99,Australia,5,"Sisandatech was very communicative in his work, regularly updating me of updates. He completed an excellent job in a short amount of time and he went above and beyond to take feedback on board and integrate it within the app.

Overall it was a very pleasant experience for me and I recommend Sisandatech for his detailed and timely delivery of the work.
Thanks"
wixxix,Netherlands,5,"Sisandatech helped me throughout the whole process, he has a lot of knowledge and knows what he is doing. Thanks for the service, would recommend to everybody!"
roydickson,United Arab Emirates,5,Very happy with the final product and the fact that Sisandatech reacted to my requests for revisions professionally and implemented them perfectly.  Will use again!
julio2022,Brazil,5,Fantastic!! Really fast work flow and excellent communication. Would hire again!
gscb777,United States,5,Quick and clear communication. Will do business again.
ryderapp173,South Africa,5,"Absoltely amazing and well knowledgable, will use and recommend for all AR"
nicolasberdon20,France,5,"Jameel is the wise guy of AR and VR project !
Trust me :)"
laurenceobyrne,Ireland,5,Never let’s you down and great at communicating
jdsdre,United States,5,Excellent delivery he works fast everytime
onegreggybrady,Australia,5,"Jameel, nursed me through this process.  He was patient with my misunderstanding the whole Fiverr experience.  And always kept my best interests at heart.  I would definitely recommend his services to all."
sssharoon2677,Pakistan,5,good  work
guilhermebuosi,Portugal,5,"Nice work... I will work with him again!

Thanks"
jsonotz229,United States,5,Bomb.com!!!
rashidaurangzeb,Pakistan,5,Thanks for such a nice and fast delivery. I really recommend him and like to work with him in future.
rashidaurangzeb,Pakistan,5,Really fast delivery and great quality of work recommended 100%
andylittle242,United Kingdom,5,Perfect and great communication.
limetina,Germany,5,"Super communication, fast implementation. The result is very good we will implement further projects. Thanks for the great work"
limetina,Germany,5,"Super communication, fast implementation. The result is very good we will implement further projects. Thanks for the great work"
laurynas9191,Lithuania,5,"I'm very lucky that i found this man, he did what i need. He answered in all my question with suggestions, absolutely recommend!"
manaphiz,United States,5,The best in Fiverr world
arashfirenze,Italy,5,"Haseeb is an outstanding professional, problem-solver and developer.
I enjoyed to work with a person that put clear communication and respect at the forefront of the professional relationship.

High quality work, timely responses, and great tech!"
mone145,United States,5,Did great and communication was also amazing. Thank you! Love my app.
jazzles,United Kingdom,5,Amazing service again. Thanks for all of your extra effort and time making the app design and development
raiqasim501,Pakistan,5,"Haseeb is a Pro level Augmented Reality developer, Highly recommended, Very professional guy. Thank you"
rases_de,Germany,5,Well done good app. Like to preorder if needed.
devcpd,Israel,5,"Very comunicative talent developer.
Deep understanding of customer need.
I enjoy very much to work with him, and very pleased of the result !"
robertk786,United Kingdom,5,Excellent communication and delivery.  I would use this developer again.
randyschouten,Netherlands,5,They have don a wonderfull job and build an amazing app for Android and Iphone for us! Communication was fast and clear and they also came with there own ideas to give the app better functionallities. I would definitely work with them again and recommended to other companies.
klevans123,United States,5,great job. you are the best. fast and professional.
e2discover,Australia,5,Very pleased with the work done.
e2discover,Australia,5,We requested a technical build and are absolutely thrilled with the final product we received. Thankyou very much for your time and effort.
gomesiago,Brazil,5,Atendeu a todos os requisitos do projeto. Recomendo a todos!
mingobiz,United States,5,"for software there should be time to beta test, yes delivery was made but Fiverr should give me as a customer time to use the software and then decide how good the product is. Having said that, I was satisfied with Ahmed's responsiveness and capturing what I wanted, great effort."
codelex,United States,5,Yourahmed is what you want in a developer. He communicates and solves issues that you present to him with the project. He understood my project and delivered. He did a great job on my project. I highly recommend him.
enrifhty,Canada,5,Ahmed is bravo. I tell me my requirements and he built me a app for both ios and android and now my app is running on very mobile he's best flutter mobile app developer. I will come back to him soon. Thanks ahmed
kesnhaty,United Kingdom,5,Great!! Ahmed is best flutter mobile app developer for ios and android. He help me out in every manner. Very thankful to you ahmed.
furdeenfaisal,United Kingdom,5,Great experience
donaldbriann,United States,5,"You guys are geniuses! When we first engaged Wajahat, we didn’t have any software at all, just some ideas. Before the team even wrote a single line of code for the platform, we went through discovery, design, and planning process. The team spent hours interviewing fitness coaches around the world, asking them about their challenges. They used what they learned to make recommendations to us in terms of the platform and what it should encompass.

The services Malek Tech provided covered ideation and design, all the way through to the actual development work. From there, they went on to maintaining and supporting the platform to where it is today. Highly recommend working with them!"
lisadrake69,Australia,5,Absolutely amazing! The app turned out to be really beautiful. The Malek team are super friendly and their experience makes it really a worthwhile experience. I love that I received a premium app for the price. It’s definitely not like other expensive sellers and you only get a knock off quality app. I am definitely returning to buy more apps. Great work Wajahat! Keep it up.
facgavhagacw,Canada,5,"Do yourself a favor and hire these guys already. The service is unmatched. Wajahat truly cares about your experience. The end product is absolutely amazing – every change I suggested was promptly applied. Absolutely the best service we had on Fiverr. I have to say, I enjoyed each step of the process. Ideal for those who want a spectacular app but don’t exactly know where and how to start. Highly recommend!"
jonsonlaura,Australia,5,"Awesome job!
Legitimately the best seller on this platform. Really shaped up the app to my complete satisfaction. My partner and I have been buying gigs on Fiverr for a few years now but this has been my best experience so far! They make the most premium apps and the quality they put in each app is outstanding. Really reflects their expertise. Wajahat is a professional and his honesty brought me to buy from him and now I won’t go anywhere but these guys because they’re the complete package! Awesome job guys. Keep up the great work. Looking forward to future projects!"
henre_alifre6,United States,5,Outstanding communication! Brilliant designing skills. Really cared about the slightest details and aesthetics of the design. Malek and company provided me with the most premium app. Didn't knew what I was going to get when I first ordered and it turned out to be an amazing experience for me. They took care of the whole project like pros. Hats off to you guys. Definitely returning again for business with you guys.
omolhs,Israel,5,"absolutely a pleasure to work with! 
super smart with great communication skills. 
i tipped 100% of the project because he was so amazing!!! that says it all!"
mrvertual,Italy,5,"Really kind guy,followed me in every moment to realize a perfect UI in flutter.
I'm sure i will work with him really soon."
joeyjurjens23,Netherlands,4,He was quick in responding and the delivery was fast too. My requested UI was very basic but he delivered it as I hoped. Great experience.
degrelleon,Sweden,5,"Very quick delivery, just a few hours. Good communication, I told what I need and didn't need to explain much further. Would recommend!"
naijaendgooner,Nigeria,5,"Divij's been a delight to work with and I must commend him for his patience and understanding as we made different changes. Most importantly, communication with him was top notch."
cffioen2o0,Denmark,5,"This was the first time I asked for a gig in Flutter, I was a little bit nervous as usually the first times are, but I am very satisfied with the static APK Hafiz provided and hopefully will order further for the next steps in the project. I would suggest Hafiz to create a Youtube channel so his customers can see few videos of him coding some random examples to create more trust. Even though my profile was new Hafiz accepted my order, thanks and congrats on your skills, well done!"
wilsonzach97,United States,5,Mr. Haafiz has been exceptional to work with. I reached out to have my application mock ups reviewed. Not only did he review with great attention to detail but he also gave strategic recommendations to complement my ideas. I will definitely be working with him for future needs. 100% recommend!
parallaxenginee,United States,5,Haafizinam delivered the project as described. It has been a pleasant experience working with him and I will continue to work with him on other projects!
ahmedganainy,Saudi Arabia,5,"Very nice person..very collaborative and very professional..I would keep coming back to him for any flutter apps.
100% satisfied."
ccfivefiv,Italy,5,thank you very much for everything. looking for new collaborations
plutoniumboy,Netherlands,5,Superb work! Super fast and they really take their time with you. The developers are very skilled and if something is unclear they reach out immediately. Highly recommended!
tokudesign,Germany,5,"Very nice seller, we are very satisfied with the order! Our app looks fantastic, we are very happy with the endresult."
caretote,United States,5,If you are looking for clear communication and a high-quality end product this seller--in my opinion--will not let you down.
joelmagoun,Iceland,5,"Knowledgeable, friendly, and easy to work with.  Will be using them for future projects.  Thank you for the great work :)"
liemteck,Germany,5,It was great to work with the team. They understand very quickly and worked till I was satisfied.
wquartermaine,United States,5,I’ve been totally amazed at the level of professionalism with this job. More importantly the communication was very assuring and it put me at comfort to know that the job I submitted was being handled by the right people.
chingfung73,Singapore,5,"responsive, friendly guy"
raluca1ss,Romania,5,"Very satisfied, did a good job adding offer in the chat option and adding tags for users to be easily search in the searchbar"
raluca1ss,Romania,5,"Helped me resolving the filter location and the bugs with reviews , best services , recommend him 100%"
raluca1ss,Romania,5,"Best in the game , helped me fixing bugs, repair notifications , adjust messages and chat , thank you"
ersin_unsal,Turkey,5,"Good communication, perfect results"
sugref,Switzerland,5,"Another great delivery, thank you."
brettaz,United States,5,Patient to do the revisions necessary and the final delivery met the expectations for the project.
sugref,Switzerland,4.7,"Great designs, and understood the concept and vision"
choitkc,Canada,5,"Was great to work with, very understanding, Looking forward to the second phase of the project."
davidlehnhardt,Ireland,5,I had some problems with my AWS. I have set it up myself and know how to change some things but I couldn't figure out why it was not working. After brainstorming with the seller I actually figured it out on my own. But I would have never came to this solution if it where not for him. I asked some questions and he answered them quickly and professionally and that helped me to find the issue that was plaguing me. 10/10 even if you only have some questions on AWS he is the guy
tsunamivideo,United States,5,This guy is bad ass! He communicates very well despite English being a 3rd language. He understood what I needed and was super patient with me through the process. I will definitely use his services again. This is a must buy.
parasarora91,India,5,"Did a wonderful job in a timely manner and even helped out in a time crunch situation. Even adviced on best practices for future reference.
Would recommend him to anyone without any doubt."
jcline871,United States,5,"We did not accomplish the original goal, but he was able to confirm that it could not be accomplished under the circumstances and why.  That provided just as much value."
breakoutcap,Kuwait,5,"Continues to impress us with his knowledge of AWS and other devops tools. Answers all questions we have and helps us finish tasks that are more specialized. Great seller, will always recommend working with him."
williambarbe874,United States,5,Gave a helpful walk through to me and my team at the end. Was patient with us when we broke the test server once as well.
boothpower,United States,5,Excellent seller. very proficient and knowledgeable. very helpful.
dsuthar,United States,5,"Very knowledgable and helpful, will do business again!"
ma111122,Saudi Arabia,5,Excellent.
barmetrix,United States,5,Achira was great to work with...very responsive and a very good communicator...will use again.
stanislavrurik,Germany,4.3,"The quality of work was excellent and communication prompt & sincere. However, there was a small miscommunication on price which lead me to pay more. This was partly my fault for not asking up front, but I still feel a little aggreived at the situation. I paid the money but would have preferred a lower fee."
goviralnow2,Australia,5,"Outstanding experience. The site is now loading in under 3 seconds after it had been more like 23 secs on shared hosting.

Combining DO with Cloudflare and WP Rocket, as recommended by kkchauhan, definitely was a great decision.

Recommend this gig for sure."
itexonline,United States,5,"kkchauhan is highly professional, very kind, and helpful. I'm not a technical guy but he Listens to me with patience and solves my issue. 

Highly Recommended. you can choose him without any hesitation. You will never regret it. usually, I did not type long review, but this guy really deserves."
marnicks,Netherlands,5,Needed a small new feature and contacted him. Got a message back within a few minutes and less than an hour later everything was already done. Awesome work and highly recommended. Thank you!
megel343,Australia,5,Read my mind. I am in early development but he delivered what I needed right now without over complicating the server process. Talented and highly recommend
nauvelis,France,5,"Very competent, the service was realized on time. Took the time to really understand each and every detail of the project. It helped not to forget some technical aspects. All delivered at a good price and with very good communication!"
felicst,Mexico,5,The service was quick and efficient. They work around problems with minimum involvement of our part in a very diligent manner. Also very grateful for the patience they showed us regarding technical details we did not grasp right away
nauvelis,France,5,Good communication and easy to work with !
a3843973ajd,United States,5,Thanks. Great work as always
mcarrier7,United States,5,Seller was extremely professional and prompt. The product was to delivered to expectations with great documentation.
saintesk,United States,5,"Ali was very flexible, knowledgeable and has sooo much integrity!!!! I am fortunate to have found him and make use of his full stack development knowledge! He went above and beyond to assist me in establishing my service and conducted a remote learning session! I am beyond grateful Ali!!!"
inteero,Germany,5,"It was great working with him. We had some Zoom calls so that I could explain exactly what I need and he got a great impression of what we are looking for. 
It seemed that he had a very fast understanding what we where trying to implement and he tested everything before the delivery. 

Thank you a lot. 
I can recommend working with him!"
seoattraction,United States,5,"What a great guy, he went the extra mile, professional and fast. WOW he is my go to guy for server AWS expert help! A+++ HIGHLY RECOMMENDED!"
arabicpoet,United Kingdom,5,"2 seconds. how often do you meet sellers who solve your problem in 2 seconds? Ali solved my issue in 2 seconds. He was amazing, professional, polite, gentleman."
vanmorris436,United States,5,"Terrific work! He got us setup quickly to use the very powerful AWS Pinpoint! Great job, will use again for other AWS issues."
asbjornkk,Norway,5,"Super easy and fast communication. Very easy to decide on work plan, and very understanding and helpful. Delivered exactly as agreed.

Highly recommended!"
idsigma,United Kingdom,5,Great worker and fantastic professional in AWS ...highly recommended...
biancadigital,South Africa,5,"fixed my problems, thanks"
biancadigital,South Africa,5,super quick solved something on aws that would have taken me days.....
jonashaouzi,Spain,5,Thank you !
makenocake,Canada,5,"Awesome awesome job, really good"
vixgriduber,United States,5,Super awesome and fast. Understood my requirements and delivered same.
yayasand,United States,5,I really really recommend this service. Best result with short period of time.
briandunning,United States,5,"Very fast and very knowledgeable. This seller knows AWS thoroughly and was able to do exactly what I needed, right away."
pixelmargin,India,5,Great Job and instantly done. Highly recommended.
nickilong,United States,5,Seller is fast n professional
dianapantaia,Netherlands,5,"Did everything I needed super quick, would recommend!"
lawrence0327,Canada,5,Kills it. Will use again
vihangasliit,Sri Lanka,5,extremely impressed with the work. Really well explained about code. it was beyond my expectations for sure. Highly Recommended  👍🏼
jasongrey530,Guyana,5,"The seller was very helpful and thorough, he worked very hard to deliver in the short time frame we had, his dedication and work ethic was immeasurable. I'm thankful for his participation."
ezim12345,Canada,5,"fantastic. Very punctual, determined and professional. I highly recommend."
hashimateeq,Australia,5,"Noman, You’re the BEST. Loved your fantastic services and look forward to working with you again one day! Wishing you all the success in the world"
hashimateeq,Australia,5,Extremely talented Noman. If you have a serious project that needs careful attention and attention to detail you'll get the best service with him. I look forward to giving him more work.
coffee_lattes,United Kingdom,5,"After initial discussion, Raza agreed to take on my order with a relatively tight deadline of a week. His communication was amazing during the entire process. He would update me during each phase of the project and show me results so I could give my feedback. When I gave feedback, he understood it and implemented the necessary changes immediately. It never took me more than one round of explaining for him to grasp my idea. He answered every single question I asked, added additional comments and explained the code when I didn't get it and never complained when I asked for extra analyses and changes. He always replied within the hour when he was awake and has immense knowledge in the field."
varunkulkarn802,India,5,Best freelancer on fiverr I have ever seen. He just do whatever you want in python scripting that too in reasonable cost.
engr_m_sohaib,Pakistan,5,"Nice work, and man he is fast…"
contentanalyzer,United Arab Emirates,5,Good work !
adebsa_company,Benin,5,I'm pretty smashing by his work: high quality and on time delivery. Highly recommended
cemkoyuncu,Netherlands,5,"This is the best seller I have ever worked with on Fiverr. When it comes to delivering a product, I look at two things, skill, and character. This person gets a full score on both aspects. Great skill set and able to complete all the inquired tasks, on top of this excellent communicator and kind person with no ego. He has been flexible with all the requests and has responded to all my inquiries in a timely and adequate manner. I would recommend him 100% and look forward to working with him again. It's a perfect fit if you want to work with someone who is a good person with a complete skill set."
djzmax,United Arab Emirates,5,Great stuff!
chandanabasaven,United Kingdom,5,Excellent communication and awesome work.
vuha63,Germany,4.7,Communicative
horatiusicoie,Netherlands,5,"Smart guy, I recommend!"
algorithmnlp1,India,5,Adirtha went above and beyond to get my order after I had an issue with my current framework. He provided the order at right time with great quality. He is very dedicated and has great communication through out the process. I needed a few revisions which he did willingly and quickly. His explanation of concepts and each process is very good and I recommend him for any NLP Model especially with BERT/KEYBERT. He is an expert in NLP Modelling.I highly recommend his services! He's a specialist at his job!
fbm1919,Pakistan,5,"Adirtha is a professional in machine learning nlp. He helped me with my project till the end. I am looking forward to working with you in the future 

Highly recommended seller. 
Thanks"
simonwt1,Germany,5,"The communication was great, he always replied very fast. He also brought his creative ideas into the project. Will definitely take his service again when needed. 100% recommended"
fbm1919,Pakistan,5,"Adirtha did a great job once again, fully satisfied by his services. Will keep ordering for future projects. 

Highly Recommended Seller
Thanks"
earthgrob,Netherlands,5,"The seller was really patient: as a person that does not know a lot about Data Science, Talha was very kind and understanding, guiding me to the solution I needed at the end. Could not have asked for someone better."
drmhaber,Germany,5,"It was a pleasure to work with Talha. He is super professional, an expert when it comes to NLP and PyTorch, and all-in-all just a very friendly person. He offered great support and insight when we hit a road block in development and managed to help us deliver the project ahead of schedule."
armatuslegio,Indonesia,5,Great seller! Communicative and extensively expert in NLP.
earthgrob,Netherlands,5,Great delivery!
shanzeh1997,Pakistan,5,"great working with Talha, really professional work and more then expected. Delivered before the deadline. Would surely recommend"
missgemineye,United States,5,Thank you
markk666,Thailand,5,I am amazed..I didn't know what I signed up for..but she really gets to the root of it..Highly recommend
milan121212,United States,5,Excellent reading.
gwill89,United States,5,It was good. Hoping it works
rnstudent,United States,5,Honestly she’s amazing ✨✨✨ Everything she said resonated & just made sense . Her work is very detailed and well presented . Communication was also awesome . So all around I’m a happy First time customer and will Definitely be back ✨❣️Zoe thanks for everything ✨💖💖💖
mirabelle1998,Germany,5,Everthing was delivered on time and as needed. I would highly recommend the seller! :-)
softsoulss,Pakistan,5,Excellent Work.
adrianj45,United States,5,"Thanks for your great service.
Excellent Work."
sophihun,United States,5,"I like service provided photophactory, most recommended."
ouobam,United States,5,I am satisfied with the final delivery. Look forward to working with him again
milijj,United States,5,He was very professional and helpful. He keeps you in the loop while working on the script and is quick to respond to messages. I am inclined to work with him again.
aali55,Canada,5,"it was really good working with this seller, he has good communication skills."
abadinoor,Saudi Arabia,5,"good work 
thank you"
sweephp,United States,5,Great work just what we needed
buyaudiovideo,India,5,"This is my 3rd order with her.
This great work happened so fast! Professional and a zoom-ster of a worker! I’ll defiantly be working with you again!! Super Awesome work and very helpful through the whole process!

She was totally dedicated to a perfect result. Her work is awesome. I will work with her again and again. She`s perfect"
nvtori,United Kingdom,5,Great work. Excellent delivery
dunno8,Australia,5,The final product was superb! The content matter is organized in a very engaging manner and the activities make this a very interactive workshop for the participants.I can say I definitely got much more than I paid for. And she is quick to respond and very professional. Highly recommended!
skill7,Switzerland,5,Alessia delivered early and the content is excellent! Very professionally prepared and organized. We especially loved the Trainer’s manual. We are very happy with the result. Would use again. Thanks.
kylemcclayakc,United States,5,she is a star!
brainchildeng,United States,5,Excellent.
brandon294,Australia,5,Always a pleasure to work with! Thank you very much for the speedy delivery.
brandon294,Australia,5,Excellent voice over artist! Great to work with.
jeromemonti,France,5,Just perfect ! Fast delivery and exactly what I wanted. Thank you
mahirajthakor,Australia,5,"Offered Great value for work,
Understanding and good person, friendly excellent communication, and completed the order much quicker than expected. Will recommend it for anyone would like for a professional job."
melissabenas875,United States,5,I would very much recommend this seller.  His communication is excellent and he put in extra time to resolve errors I had on my end and to add in additional details.  He worked with me to make sure the project came out exactly as I needed.  He met all timelines and the quality of work was excellent.
toddygwaze,United States,5,"very easy working, great communication and delivers on time. Always updates progress and goes extra miles to get job done."
motunrayoomotad,United Kingdom,5,excellent service
faayezreza,United Kingdom,5,Great service and finished before deadline
kushrules,United States,5,"I didn't know I hired a magician.  But, I guess I did.  The seller is absolutely incredible.  Communicates perfectly, and gets even the most complicated tasks.  Amazing is an understatement."
deniomachado,United States,5,"Cannot recommend this guy enough! Communication was great & was constantly in contact with me providing updates. He was very accommodating & worked patiently with me to provide the exact result I was looking for. I needed CSV manipulation in a very specific manner & he went out of his way to provide great service & many revisions until I was happy. 

I will contact him next time I need a similar service"
anthonyle865,Canada,5,"Wow. Best seller I’ve worked with on Fiverr so far. Very communicative, amazing work and fast delivery. Definitely recommend him!"
barriedavies805,United Kingdom,5,"Incredible talent. Super hard working, focussed and very capable. Learns quickly. I cannot recommend enough about Dhyeya.

Will definitely be working with him again."
heretherewhere,Australia,5,As always this guy is the best. Best communication and understanding of the work he does. Also generally a nice guy as well.
jisoopark688,United States,5,Always satisfied with his deliverables.
jisoopark688,United States,5,I am always satisfied with his work.
muratuckan,United States,5,amazing as always
muratuckan,United States,5,"Did an amazing job, will go to him again in the future."
niravisc92,Germany,5,"Sellar has deep knowledge of open3d libraries. He knows each aspect of the concept and can understand the usage with any domain you require as he being a mechatronic engineer, his skill is excellent and have a good grip on multi-discipline."
ax9900,Singapore,5,Great work as always! :)
seppiacom,Italy,5,Outstanding and Professional as always!
seppiacom,Italy,5,Communicative and willing to deliver the best product possible
dokyetrf556,United States,5,Very smooth experience
dorothynolson,United States,5,Best experience and quick turnaround
mccahen,Switzerland,3,"Good language skill and betty_aya uses up to date software for statistical analyses. She has an optimistic attitude and communication was friendly. If I had a need for descriptive statistics, I would work with her in the future, though the pricing is quite steep. In this case, I had a quite complex request (identification of pattern in a dataset with 45 binary IVs and 45 7-point Likert-scale DVs). Sadly the result did not match the request."
jamshiddawoodza,United States,5,"I am really satisfied with her work!! Her communication skills are great and she really listened to what I wanted, gave me guidance, and solved all the doubts I had before and after. Betty_aya is so kind and I highly recommend her on a scale of 100%"
ttroim,Israel,5,"Betty does a great job, she is always available and responds quickly. Promised to finish the job within 3 days and finished ahead of time. Answered every question and did her best to make me happy. highly recommend!"
mimistudy,United Arab Emirates,5,She was on time for delivery and easy to communicate with. Understand how to do the needful test on the data and to write the analysis of the data
python_doer,Sri Lanka,5,Great experience working with her!. She is very knowledgeable in statistical data analysis. I  will use it again when needing professional help.
abdulwassay23,Malaysia,5,Good work done
phillip435,United States,5,Zoey was exceptional to work with. I reached out to have my work reviewed. The seller not only review with great attention to detail but also gave recommendations to my ideas. I will definitely be working with Zoey for future needs. 100% recommend!
lainer03,United States,5,Perfectly done! Zoey is a great communicator and did an awesome job. I will highly recommend this seller.
mercyservices,United States,5,Very kind and fast to reply. Understood exactly what I had needed and got the job done ASAP. Thank you!
ike6146,United States,5,Excellent help!
fehintolakofoid,United States,5,My tutor was very helpful and very prompt in delivering my assignment!!!
ike6146,United States,5,The seller helped me greatly work through issues
saytenfi,United States,5,great quality skill
saurabhsam96216,Australia,5,"If any day on fiverr if there is an award for top performing candidates in data science, these guys would surely be in top 3. Fast delivery, loved how they politely communicate and understand all your requirements. Would recommend them! Best in the business"
yufei_icy,United States,5,He is really intelligent and knowledgeable. And he delivered the work unbelievably fast as well as reply my message! Meanwhile he is such a patience guy to answer all of my questions. I love this experience. The work quality is high either.
hala2323,United Kingdom,5,Great service ever  .. seller has a great experience on ML work .. I always deal with and got the services as described .. he most of the time deliver the work before the given time .. So I like that  .. great communication as well .. I ve never felt regret to give my work
saurabhsam96216,Australia,5,"Seller is master in data science, has a knowledge of data science at its peak, great communication and delivery before deadline, recommended"
saurabhsam96216,Australia,5,"Without a doubt, I recommend them! They know in and out of data science and handled my projects with ease. Also, kudos to their amazing fast delivery. Would recommend them surely"
squirrelpatrick,Costa Rica,5,"My first session, hollyqui was accommodating with time scheduling and instruction on genetic algorithms was very well presented. I am looking forward to the next one"
mondyholten,Netherlands,5,great results!
leizhang22,United States,5,"top notch delivery, highly recommend"
amitkoren369,Israel,5,Felix was very patient with great communication skills
dogood123,United States,5,great session!!
jaybee200022,United States,5,"Excellent service! Sam was easy to communicate with. He was also great to work with throughout the entire process, and he patiently addressed all of my questions. Would highly recommend!"
muralikris123,United States,5,"Sam is wonderful person to work with, very responsive, prompt and delivered as promised on time. I would definitely recommend Sam to my friends."
boham2013,Germany,5,"Fantastic work, sam is a genius! We will continue working with him"
grubin1235,United States,5,Sam did great job!
lnswiss,Switzerland,5,He is Awesome
saurabhsam96216,Australia,5,"If any day on fiverr if there is an award for top performing candidates in data science, these guys would surely be in top 3. Fast delivery, loved how they politely communicate and understand all your requirements. Would recommend them! Best in the business"
yufei_icy,United States,5,He is really intelligent and knowledgeable. And he delivered the work unbelievably fast as well as reply my message! Meanwhile he is such a patience guy to answer all of my questions. I love this experience. The work quality is high either.
hala2323,United Kingdom,5,Great service ever  .. seller has a great experience on ML work .. I always deal with and got the services as described .. he most of the time deliver the work before the given time .. So I like that  .. great communication as well .. I ve never felt regret to give my work
saurabhsam96216,Australia,5,"Seller is master in data science, has a knowledge of data science at its peak, great communication and delivery before deadline, recommended"
saurabhsam96216,Australia,5,"Without a doubt, I recommend them! They know in and out of data science and handled my projects with ease. Also, kudos to their amazing fast delivery. Would recommend them surely"
johannes101,"Korea, Republic of",5,Excellent work. Much appreciated!
johannes101,"Korea, Republic of",5,"Everything worked perfectly, i can recommend the seller."
aydanli,United States,5,He is smart and his course is very useful
rabanspiegel,United States,5,Great preparation!
